pin,r,g,b,total
0623,255,128,0,383
0624,255,144,0,399
0625,255,163,0,418
0626,255,124,0,379
0627,255,111,0,366
0628,255,126,0,381
0629,255,113,0,368
0630,255,110,0,365
0631,239,0,0,239
0632,242,0,0,242
0633,252,0,0,252
0634,254,0,0,254
0635,177,0,0,177
0636,230,0,0,230
0637,239,0,0,239
0638,231,0,0,231
0639,227,0,0,227
0640,254,0,0,254
0641,244,0,0,244
0642,252,0,0,252
0643,215,0,0,215
0644,238,0,0,238
0645,255,22,0,277
0646,218,0,0,218
0647,191,0,0,191
0648,235,0,0,235
0649,236,0,0,236
0650,240,0,0,240
0651,218,0,0,218
0652,255,42,0,297
0653,255,15,0,270
0654,255,14,0,269
0655,255,37,0,292
0656,232,0,0,232
0657,255,14,0,269
0658,245,0,0,245
0659,210,0,0,210
0660,255,22,0,277
0661,255,12,0,267
0662,239,0,0,239
0663,255,58,0,313
0664,248,0,0,248
0665,235,0,0,235
0666,255,145,0,400
0667,255,13,0,268
0668,255,10,0,265
0669,255,6,0,261
0670,204,0,0,204
0671,223,0,0,223
0672,202,0,0,202
0673,204,0,0,204
0674,218,0,0,218
0675,173,0,0,173
0676,250,0,0,250
0677,250,0,0,250
0678,255,33,0,288
0679,220,0,0,220
0680,246,0,0,246
0681,224,0,0,224
0682,253,0,0,253
0683,255,14,0,269
0684,255,53,0,308
0685,235,0,0,235
0686,255,21,0,276
0687,232,0,0,232
0688,255,7,0,262
0689,255,46,0,301
0690,255,81,0,336
0691,255,94,0,349
0692,206,0,0,206
0693,221,0,0,221
0694,230,0,0,230
0695,255,6,0,261
0696,198,0,0,198
0697,246,0,0,246
0698,253,0,0,253
0699,249,0,0,249
0700,255,37,0,292
0701,255,134,0,389
0702,255,122,0,377
0703,255,121,0,376
0704,255,150,0,405
0705,255,119,0,374
0706,255,114,0,369
0707,255,182,0,437
0708,255,141,0,396
0709,255,130,0,385
0710,255,141,0,396
0711,255,160,0,415
0712,255,151,0,406
0713,255,125,0,380
0714,255,153,0,408
0715,255,124,0,379
0716,255,112,0,367
0717,255,134,0,389
0718,255,124,0,379
0719,255,126,0,381
0720,255,117,0,372
0721,255,146,0,401
0722,255,160,0,415
0723,255,138,0,393
0724,255,135,0,390
0725,255,135,0,390
0726,255,113,0,368
0727,255,136,0,391
0728,255,137,0,392
0729,255,137,0,392
0730,255,99,0,354
0731,255,121,0,376
0732,255,18,0,273
0733,239,0,0,239
0734,255,57,0,312
0735,215,0,0,215
0736,218,0,0,218
0737,247,0,0,247
0738,132,0,0,132
0739,235,0,0,235
0740,235,0,0,235
0741,255,55,0,310
0742,250,0,0,250
0743,212,0,0,212
0744,255,33,0,288
0745,221,0,0,221
0746,191,0,0,191
0747,255,34,0,289
0748,255,26,0,281
0749,213,0,0,213
0750,255,14,0,269
0751,221,0,0,221
0752,243,0,0,243
0753,253,0,0,253
0754,255,11,0,266
0755,252,0,0,252
0756,221,0,0,221
0757,250,0,0,250
0758,246,0,0,246
0759,255,4,0,259
0760,206,0,0,206
0761,244,0,0,244
0762,212,0,0,212
0763,185,0,0,185
0764,249,0,0,249
0765,239,0,0,239
0766,218,0,0,218
0767,200,0,0,200
0768,221,0,0,221
0769,255,13,0,268
0770,255,70,0,325
0771,255,14,0,269
0772,255,2,0,257
0773,245,0,0,245
0774,255,30,0,285
0775,255,46,0,301
0776,255,1,0,256
0777,255,87,0,342
0778,255,60,0,315
0779,255,29,0,284
0780,255,26,0,281
0781,230,0,0,230
0782,255,1,0,256
0783,255,41,0,296
0784,215,0,0,215
0785,252,0,0,252
0786,255,34,0,289
0787,255,3,0,258
0788,255,11,0,266
0789,255,75,0,330
